order_id,orderrad_id,orderdatum,leveransdatum,produkt_sku,produktnamn,kategori,antal,pris_per_enhet,region,kundtyp,betalmetod,kund_id,leveransstatus,recension_text,recensionsdatum,betyg,orderdatum_raw,leveransdatum_raw,antal_raw,pris_per_enhet_raw,has_review,invalid_order_date,invalid_delivery_date,invalid_quantity,invalid_price,invalid_lead_time,revenue,lead_time_days,order_weekday,order_month,sentiment_bert
ORD-2024-00009,ORD-2024-00009-1,2024-06-10,2024-06-12,SKU-KB001,Mekaniskt Tangentbord K7,Tillbehör,1.0,1299.0,,Företag,Faktura,KND-87518,Levererad,,,,2024-06-10,2024-06-12,1,1299.00,False,False,False,False,False,False,1299.0,2,Monday,6,
ORD-2024-00009,ORD-2024-00009-3,2024-06-10,2024-06-12,SKU-WC001,Webbkamera HD,Tillbehör,2.0,799.0,Stockholm,Företag,Faktura,KND-87518,Levererad,,,,2024-06-10,2024-06-12,2,799.00,False,False,False,False,False,False,1598.0,2,Monday,6,
ORD-2024-00010,ORD-2024-00010-1,2024-10-26,2024-10-30,SKU-LP001,Laptop Pro 15,Datorer,1.0,14999.0,Linköping,Privat,Swish,KND-41816,Levererad,,,,2024-10-26,2024-10-30,1,14999.00,False,False,False,False,False,False,14999.0,4,Saturday,10,
ORD-2024-00012,ORD-2024-00012-1,2024-04-08,2024-04-11,SKU-MS002,Ergonomisk Mus Pro,Tillbehör,1.0,699.0,Stockholm,Privat,Swish,KND-55095,Levererad,,,,2024-04-08,2024-04-11,1,699.00,False,False,False,False,False,False,699.0,3,Monday,4,
ORD-2024-00013,ORD-2024-00013-1,2024-02-23,2024-02-25,SKU-MN002,"Bildskärm 24"" FHD",Bildskärmar,1.0,2499.0,,Privat,Swish,KND-21853,Levererad,,,,2024-02-23,2024-02-25,1,2499.00,False,False,False,False,False,False,2499.0,2,Friday,2,
ORD-2024-00014,ORD-2024-00014-1,2024-05-14,2024-05-16,SKU-MN003,"Bildskärm 32"" Curved",Bildskärmar,1.0,5999.0,Stockholm,Privat,Faktura,KND-21867,Levererad,Riktigt nöjd! Använder den dagligen.,2024-05-23,4.0,2024-05-14,2024-05-16,1,5999.00,True,False,False,False,False,False,5999.0,2,Tuesday,5,Positive
ORD-2024-00015,ORD-2024-00015-1,2024-11-25,2024-11-27,SKU-LP002,Laptop Budget 14,Datorer,1.0,7999.0,Malmö,Privat,Swish,KND-90244,Levererad,,,,2024-11-25,2024-11-27,1,7999.00,False,False,False,False,False,False,7999.0,2,Monday,11,
ORD-2024-00016,ORD-2024-00016-1,2024-04-27,2024-05-01,SKU-SD001,Extern SSD 1TB,Lagring,1.0,1199.0,Västerås,Privat,Mobilbetalning,KND-52160,Levererad,,,,2024-04-27,2024-05-01,1,1199.00,False,False,False,False,False,False,1199.0,4,Saturday,4,
ORD-2024-00016,ORD-2024-00016-2,2024-04-27,2024-05-01,SKU-MS001,Trådlös Mus X1,Tillbehör,1.0,399.0,Västerås,B2C,Swish,KND-52160,Levererad,Mycket nöjd med köpet. Snabb leverans också!,,4.0,2024-04-27,2024-05-01,1,399.00,True,False,False,False,False,False,399.0,4,Saturday,4,Positive
ORD-2024-00018,ORD-2024-00018-1,2024-12-05,2024-12-07,SKU-KB002,Kompakt Tangentbord Mini,Tillbehör,1.0,599.0,Göteborg,Företag,Faktura,KND-99830,Levererad,,,,2024-12-05,2024-12-07,1,599.00,False,False,False,False,False,False,599.0,2,Thursday,12,
ORD-2024-00018,ORD-2024-00018-2,2024-12-05,2024-12-07,SKU-MN002,"Bildskärm 24"" FHD",Bildskärmar,5.0,2499.0,Göteborg,Företag,Faktura,KND-99830,Levererad,Snabb leverans och produkten är fantastisk!,2024-12-08,4.0,2024-12-05,2024-12-07,5,2499.00,True,False,False,False,False,False,12495.0,2,Thursday,12,Positive
ORD-2024-00018,ORD-2024-00018-3,2024-12-05,2024-12-07,SKU-LP002,Laptop Budget 14,Datorer,3.0,7999.0,Göteborg,Företag,Faktura,KND-99830,Levererad,Produkten var trasig vid leverans. Besviken.,2024-12-16,1.0,2024-12-05,2024-12-07,3,7999.00,True,False,False,False,False,False,23997.0,2,Thursday,12,Neutral
ORD-2024-00019,ORD-2024-00019-1,2024-06-20,2024-06-22,SKU-KB002,Kompakt Tangentbord Mini,Tillbehör,1.0,599.0,Göteborg,Privat,Kort,KND-28531,Levererad,Super! Kommer definitivt handla här igen.,2024-07-06,4.0,2024-06-20,2024-06-22,1,599.00,True,False,False,False,False,False,599.0,2,Thursday,6,Positive
ORD-2024-00020,ORD-2024-00020-1,2024-10-31,2024-11-02,SKU-HS002,Headset Budget,Ljud,1.0,499.0,,Privat,Kort,KND-75223,Levererad,,,,2024-10-31,2024-11-02,1,499.00,False,False,False,False,False,False,499.0,2,Thursday,10,
ORD-2024-00021,ORD-2024-00021-1,2024-07-05,2024-07-09,SKU-MN001,"Bildskärm 27"" UHD",Bildskärmar,2.0,4999.0,Linköping,Privat,Faktura,KND-58604,Levererad,"Leverans på två dagar, imponerad!",2024-07-21,4.0,2024-07-05,2024-07-09,2,4999 kr,True,False,False,False,False,False,9998.0,4,Friday,7,Positive
ORD-2024-01205,ORD-2024-01205-2,2024-05-06,2024-05-08,SKU-KB001,Mekaniskt Tangentbord K7,Tillbehör,1.0,1299.0,Stockholm,Privat,Kort,KND-41689,Levererad,,,,2024-05-06,2024-05-08,1,1299.00,False,False,False,False,False,False,1299.0,2,Monday,5,
ORD-2024-00023,ORD-2024-00023-1,2024-12-08,2024-12-10,SKU-WC001,Webbkamera HD,Tillbehör,1.0,799.0,Stockholm,Privat,Faktura,KND-52910,Levererad,,,,2024-12-08,2024-12-10,1,799.00,False,False,False,False,False,False,799.0,2,Sunday,12,
ORD-2024-00024,ORD-2024-00024-1,2024-03-02,2024-03-04,SKU-HB001,USB-C Hub 7-port,Tillbehör,1.0,549.0,Göteborg,Privat,Faktura,KND-18834,Levererad,Snabb leverans och produkten är fantastisk!,2024-03-17,4.0,2024-03-02,2024-03-04,1,549.00,True,False,False,False,False,False,549.0,2,Saturday,3,Positive
ORD-2024-00026,ORD-2024-00026-1,2024-10-28,2024-10-31,SKU-WC001,Webbkamera HD,Tillbehör,1.0,799.0,,Privat,Kort,KND-90746,Levererad,"Gör jobbet, men hade kunnat vara bättre.",2024-11-08,3.0,2024-10-28,2024-10-31,1,799.00,True,False,False,False,False,False,799.0,3,Monday,10,Neutral
ORD-2024-00027,ORD-2024-00027-1,2024-02-02,2024-02-04,SKU-HS002,Headset Budget,Ljud,2.0,499.0,Göteborg,Privat,Kort,KND-37276,Levererad,"Smidigt att beställa, produkten kom snabbt och fungerar perfekt.",2024-02-15,5.0,2024-02-02,2024-02-04,2,499.00,True,False,False,False,False,False,998.0,2,Friday,2,Positive
ORD-2024-00027,ORD-2024-00027-2,2024-02-02,2024-02-04,SKU-MS002,Ergonomisk Mus Pro,Tillbehör,1.0,699.0,Göteborg,Privat,Kort,KND-37276,Levererad,Bra pris och hög kvalitet. Nöjd kund!,2024-02-05,5.0,2024-02-02,2024-02-04,1,699.00,True,False,False,False,False,False,699.0,2,Friday,2,Positive
ORD-2024-00028,ORD-2024-00028-1,2024-02-14,2024-02-17,SKU-HB001,USB-C Hub 7-port,Tillbehör,1.0,549.0,Stockholm,Privat,Swish,KND-73790,Levererad,,,,2024-02-14,2024-02-17,1,549.00,False,False,False,False,False,False,549.0,3,Wednesday,2,
ORD-2024-00028,ORD-2024-00028-2,2024-02-14,2024-02-17,SKU-LP002,Laptop Budget 14,Datorer,1.0,7999.0,Stockholm,Privat,Swish,KND-73790,Levererad,,,,2024-02-14,2024-02-17,1,7999.00,False,False,False,False,False,False,7999.0,3,Wednesday,2,
ORD-2024-00029,ORD-2024-00029-1,2024-08-15,2024-08-22,SKU-KB002,Kompakt Tangentbord Mini,Tillbehör,1.0,599.0,Norrland,Privat,Faktura,KND-15161,Levererad,Bra pris och hög kvalitet. Nöjd kund!,2024-08-30,5.0,2024-08-15,2024-08-22,1,599 kr,True,False,False,False,False,False,599.0,7,Thursday,8,Positive
ORD-2024-00029,ORD-2024-00029-2,2024-08-15,2024-08-22,SKU-SP001,Bluetooth-högtalare,Ljud,1.0,899.0,Norrland,Privat,Faktura,KND-15161,Levererad,,,,2024-08-15,2024-08-22,1,899.00,False,False,False,False,False,False,899.0,7,Thursday,8,
ORD-2024-00031,ORD-2024-00031-1,2024-08-24,2024-08-27,SKU-SP001,Bluetooth-högtalare,Ljud,1.0,899.0,Linköping,Privat,Faktura,KND-54713,Under Transport,,,,2024-08-24,2024-08-27,1,899 kr,False,False,False,False,False,False,899.0,3,Saturday,8,
ORD-2024-00032,ORD-2024-00032-1,2024-11-14,2024-11-17,SKU-LP002,Laptop Budget 14,Datorer,1.0,7999.0,Linköping,Privat,Kort,KND-91979,Levererad,,,,2024-11-14,2024-11-17,1,7999.00,False,False,False,False,False,False,7999.0,3,Thursday,11,
ORD-2024-00033,ORD-2024-00033-1,2024-11-22,2024-11-24,SKU-WC001,Webbkamera HD,Tillbehör,1.0,799.0,Stockholm,Privat,Swish,KND-39847,Levererad,Prisvärt och bra kvalitet. Kommer köpa igen.,2024-11-29,5.0,2024-11-22,2024-11-24,1,799.00,True,False,False,False,False,False,799.0,2,Friday,11,Positive
ORD-2024-00034,ORD-2024-00034-1,2024-06-08,2024-06-15,SKU-MN003,"Bildskärm 32"" Curved",Bildskärmar,1.0,5999.0,Norrland,B2C,Swish,KND-57379,Levererad,Fick en skärm med spricka. Uppenbar transportskada.,2024-06-21,2.0,2024-06-08,2024-06-15,1,5999.00,True,False,False,False,False,False,5999.0,7,Saturday,6,Negative
ORD-2024-00036,ORD-2024-00036-1,2024-05-21,2024-05-23,SKU-HS001,Headset Pro ANC,Ljud,1.0,1899.0,Gothenburg,Privat,Kort,KND-67030,Levererad,Trasig förpackning och skadad produkt.,2024-06-02,2.0,2024-05-21,2024-05-23,1,1899.00,True,False,False,False,False,False,1899.0,2,Tuesday,5,Negative
ORD-2024-00036,ORD-2024-00036-3,2024-05-21,2024-05-23,SKU-SD001,Extern SSD 1TB,Lagring,2.0,1199.0,Göteborg,Privat,Kort,KND-67030,Levererad,,,,2024-05-21,2024-05-23,2,1199.00,False,False,False,False,False,False,2398.0,2,Tuesday,5,
ORD-2024-00038,ORD-2024-00038-2,2024-11-01,2024-11-04,SKU-LP003,Laptop Gaming X,Datorer,10.0,18999.0,,Företag,Faktura,KND-76077,Levererad,,,,2024-11-01,2024-11-04,10,18999.00,False,False,False,False,False,False,189990.0,3,Friday,11,
ORD-2024-00038,ORD-2024-00038-3,2024-11-01,2024-11-04,SKU-LP003,Laptop Gaming X,Datorer,1.0,18999.0,Göteborg,B2B,Faktura,KND-76077,Levererad,Slutade fungera efter två veckor. Dålig kvalitet.,2024-11-07,1.0,2024-11-01,2024-11-04,1,18999.00,True,False,False,False,False,False,18999.0,3,Friday,11,Negative
ORD-2024-00038,ORD-2024-00038-4,2024-11-01,2024-11-04,SKU-LP003,Laptop Gaming X,Datorer,2.0,18999.0,,Företag,Faktura,KND-76077,Levererad,Inte alls nöjd. Kommer inte handla här igen.,2024-11-05,1.0,2024-11-01,2024-11-04,2,18999.00,True,False,False,False,False,False,37998.0,3,Friday,11,Negative
ORD-2024-00039,ORD-2024-00039-1,2024-06-04,2024-06-06,SKU-WC001,Webbkamera HD,Tillbehör,1.0,799.0,Stockholm,Privat,Faktura,KND-44123,Levererad,Snabb leverans och produkten är fantastisk!,2024-06-10,5.0,2024-06-04,2024-06-06,1,799.00,True,False,False,False,False,False,799.0,2,Tuesday,6,Positive
ORD-2024-00040,ORD-2024-00040-1,2024-07-30,2024-08-01,SKU-WC001,Webbkamera HD,Tillbehör,1.0,799.0,Stockholm,Privat,Faktura,KND-53769,Levererad,Bästa tangentbordet jag haft. Rekommenderar!,2024-08-09,5.0,2024-07-30,2024-08-01,1,799.00,True,False,False,False,False,False,799.0,2,Tuesday,7,Positive
ORD-2024-00040,ORD-2024-00040-2,2024-07-30,2024-08-01,SKU-LP001,Laptop Pro 15,Datorer,1.0,14999.0,Sthlm,Privat,Faktura,KND-53769,Levererad,"Fungerar utmärkt, inga problem alls.",2024-08-03,5.0,2024-07-30,2024-08-01,1,14999.00,True,False,False,False,False,False,14999.0,2,Tuesday,7,Positive
ORD-2024-00042,ORD-2024-00042-1,2024-04-04,2024-04-06,SKU-LP003,Laptop Gaming X,Datorer,1.0,18999.0,Malmö,Privat,Kort,KND-67061,Under Transport,,,,2024-04-04,2024-04-06,1,18999.00,False,False,False,False,False,False,18999.0,2,Thursday,4,
ORD-2024-01172,ORD-2024-01172-2,2024-01-02,2024-01-04,SKU-MN003,"Bildskärm 32"" Curved",Bildskärmar,1.0,5999.0,Göteborg,Företag,Kort,KND-16762,Levererad,Prisvärt och bra kvalitet. Kommer köpa igen.,,5.0,2024-01-02,2024-01-04,1,5999.00,True,False,False,False,False,False,5999.0,2,Tuesday,1,Positive
ORD-2024-01172,ORD-2024-01172-2,2024-01-02,2024-01-04,SKU-MN003,"Bildskärm 32"" Curved",Bildskärmar,1.0,5999.0,Göteborg,Företag,Kort,KND-16762,Levererad,Prisvärt och bra kvalitet. Kommer köpa igen.,,5.0,2024-01-02,2024-01-04,1,5999.00,True,False,False,False,False,False,5999.0,2,Tuesday,1,Positive
ORD-2024-00043,ORD-2024-00043-1,2024-03-26,2024-03-29,SKU-SD002,Extern SSD 500GB,Lagring,1.0,699.0,Stockholm,Privat,Swish,KND-29350,Levererad,Mycket nöjd med köpet. Snabb leverans också!,2024-04-01,5.0,2024-03-26,2024-03-29,1,699.00,True,False,False,False,False,False,699.0,3,Tuesday,3,Positive
ORD-2024-00044,ORD-2024-00044-1,2024-10-15,2024-10-19,SKU-LP003,Laptop Gaming X,Datorer,1.0,18999.0,Linköping,Privat,Faktura,KND-75717,Levererad,Kan varmt rekommendera denna produkt.,2024-10-31,4.0,2024-10-15,2024-10-19,1,18999.00,True,False,False,False,False,False,18999.0,4,Tuesday,10,Positive
ORD-2024-00044,ORD-2024-00044-3,2024-10-15,2024-10-19,SKU-HS001,Headset Pro ANC,Ljud,1.0,1899.0,Linköping,Privat,Faktura,KND-75717,Levererad,Leveransen tog alldeles för lång tid.,2024-10-21,1.0,2024-10-15,2024-10-19,1,1899.00,True,False,False,False,False,False,1899.0,4,Tuesday,10,Positive
ORD-2024-00045,ORD-2024-00045-1,2024-04-02,2024-04-04,SKU-SD002,Extern SSD 500GB,Lagring,1.0,699.0,Stockholm,Privat,Swish,KND-80650,Skickad,,,,2024-04-02,2024-04-04,1,699.00,False,False,False,False,False,False,699.0,2,Tuesday,4,
ORD-2024-00046,ORD-2024-00046-1,2024-01-18,2024-01-21,SKU-KB002,Kompakt Tangentbord Mini,Tillbehör,1.0,599.0,Stockholm,Privat,Kort,KND-69139,Retur,,,,2024-01-18,2024-01-21,1,599.00,False,False,False,False,False,False,599.0,3,Thursday,1,
ORD-2024-00046,ORD-2024-00046-2,2024-01-18,2024-01-21,SKU-MN002,"Bildskärm 24"" FHD",Bildskärmar,1.0,2499.0,Stockholm,Privat,Kort,KND-69139,Returnerad,Fantastisk produkt! Fungerar precis som utlovat.,2024-01-31,5.0,2024-01-18,2024-01-21,1,2499.00,True,False,False,False,False,False,2499.0,3,Thursday,1,Positive
ORD-2024-00047,ORD-2024-00047-2,2024-05-18,2024-05-20,SKU-MS002,Ergonomisk Mus Pro,Tillbehör,2.0,699.0,Stockholm,Privat,Swish,KND-83763,Levererad,,,,2024-05-18,2024-05-20,2,699.00,False,False,False,False,False,False,1398.0,2,Saturday,5,
ORD-2024-00048,ORD-2024-00048-1,2024-12-27,2024-12-29,SKU-SD001,Extern SSD 1TB,Lagring,1.0,1199.0,Stockholm,B2C,Kort,KND-76872,Levererad,Super! Kommer definitivt handla här igen.,2025-01-04,4.0,2024-12-27,2024-12-29,1,1199.00,True,False,False,False,False,False,1199.0,2,Friday,12,Positive
ORD-2024-00049,ORD-2024-00049-1,2024-01-17,2024-01-22,SKU-MS002,Ergonomisk Mus Pro,Tillbehör,1.0,699.0,Norrland,Privat,Swish,KND-92001,Levererad,Fantastisk produkt! Fungerar precis som utlovat.,2024-02-04,5.0,2024-01-17,2024-01-22,1,699.00,True,False,False,False,False,False,699.0,5,Wednesday,1,Positive
ORD-2024-00050,ORD-2024-00050-1,2024-11-10,2024-11-12,SKU-LP003,Laptop Gaming X,Datorer,1.0,18999.0,Göteborg,Privat,Faktura,KND-21120,Under Transport,,,,2024-11-10,2024-11-12,1,18999.00,False,False,False,False,False,False,18999.0,2,Sunday,11,
ORD-2024-00051,ORD-2024-00051-1,2024-01-20,2024-01-23,SKU-LP003,Laptop Gaming X,Datorer,1.0,18999.0,Västerås,Privat,Kort,KND-54880,Levererad,Genomsnittlig kvalitet. Inget speciellt.,2024-02-06,3.0,2024-01-20,2024-01-23,1,18999.00,True,False,False,False,False,False,18999.0,3,Saturday,1,Neutral
ORD-2024-00052,ORD-2024-00052-1,2024-05-21,2024-05-24,SKU-KB002,Kompakt Tangentbord Mini,Tillbehör,1.0,599.0,Stockholm,Privat,Swish,KND-82470,Levererad,"Leverans på två dagar, imponerad!",2024-06-04,5.0,2024-05-21,2024-05-24,1,599.00,True,False,False,False,False,False,599.0,3,Tuesday,5,Positive
ORD-2024-00054,ORD-2024-00054-1,2024-09-26,2024-09-30,SKU-LP003,Laptop Gaming X,Datorer,2.0,18999.0,Linköping,B2C,Swish,KND-21950,Levererad,Mycket nöjd med köpet. Snabb leverans också!,2024-10-14,4.0,2024-09-26,2024-09-30,2,18999.00,True,False,False,False,False,False,37998.0,4,Thursday,9,Positive
ORD-2024-00056,ORD-2024-00056-1,2024-03-11,2024-03-14,SKU-MN003,"Bildskärm 32"" Curved",Bildskärmar,1.0,5999.0,Stockholm,Privat,Swish,KND-13181,Levererad,,,,2024-03-11,2024-03-14,1,5999.00,False,False,False,False,False,False,5999.0,3,Monday,3,
ORD-2024-00057,ORD-2024-00057-1,2024-11-01,2024-11-03,SKU-MS002,Ergonomisk Mus Pro,Tillbehör,1.0,699.0,Stockholm,Privat,Kort,KND-39960,Levererad,,,,2024-11-01,2024-11-03,1,699.00,False,False,False,False,False,False,699.0,2,Friday,11,
ORD-2024-00058,ORD-2024-00058-3,2024-03-08,2024-03-11,SKU-LP002,Laptop Budget 14,Datorer,2.0,7999.0,Uppsala,Företag,Faktura,KND-32010,Levererad,,,,2024-03-08,2024-03-11,2,7999.00,False,False,False,False,False,False,15998.0,3,Friday,3,
ORD-2024-00059,ORD-2024-00059-1,2024-12-04,2024-12-07,SKU-KB001,Mekaniskt Tangentbord K7,Tillbehör,1.0,1299.0,Stockholm,Företag,Kort,KND-60144,Levererad,Prisvärt och bra kvalitet. Kommer köpa igen.,2024-12-20,5.0,2024-12-04,2024-12-07,1,1299.00,True,False,False,False,False,False,1299.0,3,Wednesday,12,Positive
ORD-2024-00060,ORD-2024-00060-1,2024-04-03,2024-04-08,SKU-KB001,Mekaniskt Tangentbord K7,Tillbehör,2.0,1299.0,Norrland,B2B,Kort,KND-48721,Levererad,Riktigt nöjd! Använder den dagligen.,2024-04-18,4.0,2024-04-03,2024-04-08,2,1299.00,True,False,False,False,False,False,2598.0,5,Wednesday,4,Positive
ORD-2024-00061,ORD-2024-00061-1,2024-04-23,2024-04-25,SKU-MN002,"Bildskärm 24"" FHD",Bildskärmar,1.0,2499.0,Göteborg,Företag,Faktura,KND-55472,Levererad,,,,2024-04-23,2024-04-25,1,2499.00,False,False,False,False,False,False,2499.0,2,Tuesday,4,
ORD-2024-00061,ORD-2024-00061-2,2024-04-23,2024-04-25,SKU-LP002,Laptop Budget 14,Datorer,3.0,7999.0,Göteborg,Företag,Faktura,KND-55472,Levererad,,,,2024-04-23,2024-04-25,3,7999.00,False,False,False,False,False,False,23997.0,2,Tuesday,4,
ORD-2024-00062,ORD-2024-00062-2,2024-06-14,2024-06-16,SKU-MN002,"Bildskärm 24"" FHD",Bildskärmar,1.0,2499.0,Stockholm,Privat,Swish,KND-18662,Under Transport,,,,2024-06-14,2024-06-16,1,2499.00,False,False,False,False,False,False,2499.0,2,Friday,6,
ORD-2024-00063,ORD-2024-00063-1,2024-12-27,2024-12-30,SKU-MS002,Ergonomisk Mus Pro,Tillbehör,2.0,699.0,Stockholm,Privat,Swish,KND-82746,Levererad,"Leverans på två dagar, imponerad!",2025-01-11,4.0,2024-12-27,2024-12-30,2,699.00,True,False,False,False,False,False,1398.0,3,Friday,12,Positive
ORD-2024-00063,ORD-2024-00063-2,2024-12-27,2024-12-30,SKU-MS001,Trådlös Mus X1,Tillbehör,1.0,399.0,Stockholm,Privat,Swish,KND-82746,Levererad,Toppen! Exakt vad jag behövde.,2025-01-06,5.0,2024-12-27,2024-12-30,1,399.00,True,False,False,False,False,False,399.0,3,Friday,12,Positive
ORD-2024-00065,ORD-2024-00065-1,2024-12-10,2024-12-14,SKU-MS002,Ergonomisk Mus Pro,Tillbehör,1.0,699.0,Linköping,Privat,Swish,KND-62572,Levererad,,,,2024-12-10,2024-12-14,1,699.00,False,False,False,False,False,False,699.0,4,Tuesday,12,
ORD-2024-00066,ORD-2024-00066-1,2024-08-25,2024-08-28,SKU-MN001,"Bildskärm 27"" UHD",Bildskärmar,2.0,4999.0,Gothenburg,Privat,Swish,KND-82367,Levererad,,,,2024-08-25,2024-08-28,2,4999.00,False,False,False,False,False,False,9998.0,3,Sunday,8,
ORD-2024-00067,ORD-2024-00067-1,2024-04-10,2024-04-12,SKU-KB002,Kompakt Tangentbord Mini,Tillbehör,2.0,599.0,Malmö,Privat,Swish,KND-42846,Återsänd,Snabb leverans och produkten är fantastisk!,2024-04-17,5.0,2024-04-10,2024-04-12,2,599.00,True,False,False,False,False,False,1198.0,2,Wednesday,4,Positive
ORD-2024-00067,ORD-2024-00067-2,2024-04-10,2024-04-12,SKU-SD002,Extern SSD 500GB,Lagring,1.0,699.0,Malmö,Privat,Swish,KND-42846,Retur,,,,2024-04-10,2024-04-12,1,699.00,False,False,False,False,False,False,699.0,2,Wednesday,4,
ORD-2024-00068,ORD-2024-00068-1,2024-12-02,2024-12-04,SKU-LP002,Laptop Budget 14,Datorer,1.0,7999.0,Malmo,Privat,Swish,KND-89791,Levererad,"Helt okej, gör vad den ska.",2024-12-18,3.0,2024-12-02,2024-12-04,1,7999.00,True,False,False,False,False,False,7999.0,2,Monday,12,Neutral
ORD-2024-00069,ORD-2024-00069-1,2024-04-26,2024-04-30,SKU-WC001,Webbkamera HD,Tillbehör,1.0,799.0,Linköping,Privat,,KND-86044,Mottagen,,,,2024-04-26,2024-04-30,1,799.00,False,False,False,False,False,False,799.0,4,Friday,4,
ORD-2024-00069,ORD-2024-00069-3,2024-04-26,2024-04-30,SKU-MS002,Ergonomisk Mus Pro,Tillbehör,1.0,699.0,Linköping,Privat,Kort,KND-86044,Levererad,Medelmåttig upplevelse.,2024-05-08,3.0,2024-04-26,2024-04-30,1,699.00,True,False,False,False,False,False,699.0,4,Friday,4,Positive
ORD-2024-00070,ORD-2024-00070-1,2024-11-18,2024-11-20,SKU-KB002,Kompakt Tangentbord Mini,Tillbehör,1.0,599.0,Stockholm,Privat,Kort,KND-13904,Levererad,Riktigt nöjd! Använder den dagligen.,2024-11-23,4.0,2024-11-18,2024-11-20,1,599.00,True,False,False,False,False,False,599.0,2,Monday,11,Positive
